salesdate,productid,region,freeship,discount,itemssold,update_time
9/11/2024,180,e,1,1.622,61,9/12/2024
9/11/2024,243,e,1,5.988,97,9/12/2024
9/11/2024,209,c,0,2.204,27,9/12/2024
9/11/2024,214,a,0,3.509,202,9/12/2024
9/11/2024,42,d,1,3.768,212,9/12/2024
9/11/2024,256,c,0,1.737,2,9/12/2024
9/11/2024,243,b,1,7.391,93,9/12/2024
9/11/2024,146,a,0,8.651,123,9/12/2024
9/11/2024,284,d,0,7.935,119,9/12/2024
9/11/2024,110,d,1,9.478,153,9/12/2024
9/11/2024,169,b,0,9.804,154,9/12/2024
9/11/2024,185,a,0,0.456,162,9/12/2024
9/11/2024,187,c,0,1.985,183,9/12/2024
9/11/2024,190,e,0,4.695,90,9/12/2024
9/11/2024,63,e,0,0.333,219,9/12/2024
9/11/2024,169,a,1,9.007,141,9/12/2024
9/11/2024,104,c,0,0.944,134,9/12/2024
9/11/2024,161,d,1,3.825,210,9/12/2024
9/11/2024,47,d,0,7.564,68,9/12/2024
9/11/2024,296,c,1,9.753,32,9/12/2024
9/11/2024,261,c,1,6.246,196,9/12/2024
9/11/2024,39,b,0,3.947,137,9/12/2024
9/11/2024,228,c,1,5.875,91,9/12/2024
9/11/2024,132,b,0,2.893,135,9/12/2024
9/11/2024,94,b,1,6.911,194,9/12/2024
9/11/2024,34,c,1,2.577,183,9/12/2024
9/11/2024,155,d,1,6.279,25,9/12/2024
9/11/2024,27,a,1,9.088,101,9/12/2024
9/11/2024,119,a,0,1.267,141,9/12/2024
9/11/2024,90,c,0,1.718,126,9/12/2024
9/11/2024,238,a,1,1.718,175,9/12/2024
9/11/2024,210,a,1,5.84,202,9/12/2024
9/11/2024,208,b,1,9.407,90,9/12/2024
9/11/2024,250,e,0,5.869,78,9/12/2024
9/11/2024,166,a,0,5.92,215,9/12/2024
9/11/2024,266,b,1,7.91,138,9/12/2024
9/11/2024,61,d,0,6.393,148,9/12/2024
9/11/2024,104,c,1,4.477,205,9/12/2024
9/11/2024,299,a,1,8.969,149,9/12/2024
9/11/2024,181,d,0,5.219,163,9/12/2024
9/11/2024,152,c,0,3.529,191,9/12/2024
9/11/2024,228,a,0,8.534,163,9/12/2024
9/11/2024,291,e,0,5.531,15,9/12/2024
9/11/2024,136,c,0,2.61,18,9/12/2024
9/11/2024,80,d,0,2.082,172,9/12/2024
9/11/2024,241,e,1,5.051,51,9/12/2024
9/11/2024,29,c,1,9.299,115,9/12/2024
9/11/2024,54,a,1,8.567,33,9/12/2024
9/11/2024,199,e,0,7.331,16,9/12/2024
9/11/2024,43,a,0,1.746,27,9/12/2024
9/11/2024,106,d,0,1.273,14,9/12/2024
9/11/2024,162,d,0,1.552,61,9/12/2024
9/11/2024,80,b,1,8.144,165,9/12/2024
9/11/2024,22,c,0,2.194,175,9/12/2024
9/11/2024,133,a,1,0.127,183,9/12/2024
9/11/2024,129,c,0,2.692,116,9/12/2024
9/11/2024,139,e,0,9.408,48,9/12/2024
9/11/2024,229,b,0,0.912,50,9/12/2024
9/11/2024,148,b,1,2.426,185,9/12/2024
9/11/2024,247,d,1,7.791,50,9/12/2024
9/11/2024,121,d,1,3.479,111,9/12/2024
9/11/2024,294,b,0,7.995,102,9/12/2024
9/11/2024,186,c,1,0.066,36,9/12/2024
9/11/2024,241,d,1,8.874,166,9/12/2024
9/11/2024,46,b,1,0.252,208,9/12/2024
9/11/2024,268,b,0,6.154,111,9/12/2024
9/11/2024,173,e,0,2.906,55,9/12/2024
9/11/2024,207,a,0,7.96,64,9/12/2024
9/11/2024,271,a,1,2.996,163,9/12/2024
9/11/2024,33,a,1,4.817,21,9/12/2024
9/11/2024,248,a,1,2.814,41,9/12/2024
9/11/2024,258,b,0,9.415,48,9/12/2024
9/11/2024,23,d,0,1.735,45,9/12/2024
9/11/2024,212,b,1,5.593,96,9/12/2024
9/11/2024,266,d,1,6.118,23,9/12/2024
9/11/2024,246,e,1,3.02,68,9/12/2024
9/11/2024,31,a,1,7.212,212,9/12/2024
9/11/2024,32,c,1,7.17,160,9/12/2024
9/11/2024,219,d,0,3.997,74,9/12/2024
9/11/2024,77,a,1,4.831,72,9/12/2024
9/11/2024,220,e,0,0.611,178,9/12/2024
9/11/2024,141,b,0,1.945,39,9/12/2024
9/11/2024,26,e,0,4.038,89,9/12/2024
9/11/2024,165,a,1,1.652,133,9/12/2024
9/11/2024,138,c,0,2.089,59,9/12/2024
9/11/2024,57,d,0,2.335,28,9/12/2024
9/11/2024,286,b,1,6.618,211,9/12/2024
9/11/2024,31,a,1,8.177,8,9/12/2024
9/11/2024,81,d,0,1.089,45,9/12/2024
